Single,"Mass
MS/MS Positive
13C NMR
1H NMR
HSQC NMR
IR
Raman
UV-Vis","301,133
15,849
14,247
643,605
71,511
79,287
643,604
71,511
79,287
643,586
71,509
79,285
643,605
71,511
79,286
743,352
82,594
87,688
105,080
11,675
13,062
105,078
11,675
13,062","331,229
794,403
794,402
794,380
794,402
913,634
129,817
129,815"
Multi,"IR+Raman+UV-Vis
13C+1H+HSQC NMR
IR+Raman+UV-Vis+NMR+Mass","104,948
11,660
12,416
494,173
54,908
78,882
383,870
42,652
30,937","129,024
627,963
457,459"
ALL,,"4,812,034
517,055
567,439","5,896,528"
